market_segment,previous_cancellations,deposit_type,days_in_waiting_list,customer_type,reserved_room_type,required_car_parking_spaces,total_of_special_requests,lead_time,is_canceled
Offline TA/TO,0,No Deposit,0,Contract,A,1,0,130,0
Direct,0,No Deposit,0,Transient,A,0,1,28,1
Direct,0,No Deposit,0,Transient,A,1,0,156,0
Online TA,0,No Deposit,0,Transient-Party,A,0,0,110,0
Online TA,0,No Deposit,0,Transient,A,0,1,219,1
Offline TA/TO,0,No Deposit,0,Transient-Party,A,0,0,292,0
Online TA,0,No Deposit,0,Transient-Party,B,0,1,12,1
Direct,0,No Deposit,0,Transient,A,0,0,294,1
Offline TA/TO,0,No Deposit,0,Transient,A,1,0,32,0
Offline TA/TO,0,No Deposit,0,Transient-Party,A,0,0,136,0
Direct,0,No Deposit,0,Transient,E,1,1,74,0
Online TA,0,No Deposit,0,Contract,A,0,1,4,0
Corporate,0,No Deposit,0,Transient-Party,A,0,0,36,0
Online TA,0,No Deposit,0,Transient-Party,B,0,0,186,0
Online TA,0,No Deposit,0,Transient,G,1,0,19,0
Online TA,0,No Deposit,0,Contract,A,0,1,1,0
Direct,0,No Deposit,0,Group,A,0,1,9,0
Others,0,No Deposit,0,Transient,F,0,0,0,0
Online TA,0,No Deposit,0,Transient,A,0,1,65,0
Groups,0,No Deposit,0,Transient-Party,E,0,1,542,0
Offline TA/TO,0,No Deposit,0,Transient-Party,Others,1,1,48,0
Online TA,0,No Deposit,0,Transient-Party,A,0,0,212,1
Direct,0,No Deposit,0,Contract,A,0,1,9,0
Offline TA/TO,0,No Deposit,0,Transient-Party,D,0,0,31,0
Direct,0,No Deposit,0,Transient,B,0,0,268,0
Online TA,0,No Deposit,0,Transient-Party,A,0,0,99,0
Direct,0,No Deposit,0,Transient,E,0,0,60,1
Direct,0,No Deposit,0,Transient-Party,A,0,1,108,0
Online TA,0,No Deposit,0,Transient,D,0,0,103,0
Online TA,0,No Deposit,0,Transient,A,0,0,14,1
Offline TA/TO,0,No Deposit,0,Contract,A,0,0,364,0
Online TA,0,No Deposit,0,Transient-Party,B,0,0,38,0
Online TA,0,No Deposit,0,Transient-Party,B,0,0,35,0
Direct,0,No Deposit,0,Transient,D,0,0,183,1
Direct,0,No Deposit,0,Transient-Party,A,1,1,142,0
Online TA,0,No Deposit,0,Transient-Party,D,0,1,46,0
Online TA,0,No Deposit,0,Transient,Others,0,1,80,1
Online TA,0,No Deposit,0,Transient,Others,1,1,106,0
Online TA,0,No Deposit,0,Transient,A,0,1,108,1
Online TA,0,No Deposit,0,Transient,D,0,1,222,0
Online TA,0,No Deposit,0,Group,E,0,1,5,0
Online TA,0,No Deposit,0,Transient,A,0,1,222,0
Direct,0,No Deposit,0,Transient-Party,D,0,1,176,0
Offline TA/TO,0,No Deposit,0,Transient,A,1,0,98,0
Online TA,0,No Deposit,0,Transient,Others,0,1,152,1
Direct,0,No Deposit,0,Transient,B,1,0,234,0
Offline TA/TO,0,No Deposit,0,Transient-Party,A,0,0,10,0
Direct,0,No Deposit,0,Transient,A,0,0,87,0
Online TA,0,No Deposit,0,Transient-Party,B,0,1,44,1
Online TA,0,No Deposit,0,Transient,E,0,0,9,1
Online TA,0,No Deposit,0,Transient,A,0,1,149,1
Direct,0,No Deposit,0,Transient,D,0,1,10,0
Offline TA/TO,0,No Deposit,0,Contract,A,0,1,319,0
Corporate,0,No Deposit,0,Transient-Party,A,0,0,39,0
Groups,0,No Deposit,0,Transient-Party,A,0,0,145,0
Online TA,0,No Deposit,0,Transient,A,1,0,170,0
Online TA,0,No Deposit,0,Transient,A,1,1,176,0
Online TA,0,No Deposit,0,Transient,A,1,1,122,0
Others,0,No Deposit,0,Transient,A,0,1,22,0
Online TA,0,No Deposit,0,Transient,F,0,1,136,1
Online TA,0,No Deposit,0,Transient,A,0,1,194,1
