market_segment,previous_cancellations,deposit_type,days_in_waiting_list,customer_type,reserved_room_type,required_car_parking_spaces,total_of_special_requests,lead_time,is_canceled
Online TA,0,No Deposit,0,Contract,F,0,1,43,0
Direct,0,No Deposit,0,Transient,D,0,1,28,0
Groups,0,No Deposit,0,Transient-Party,D,0,1,72,0
Direct,0,No Deposit,0,Transient-Party,D,0,1,2,0
Offline TA/TO,0,No Deposit,0,Transient,D,0,1,219,0
Online TA,0,No Deposit,0,Transient,A,0,1,61,0
Direct,0,No Deposit,0,Transient,Others,1,0,148,0
Direct,0,No Deposit,0,Transient,D,0,1,118,0
Direct,0,No Deposit,0,Transient-Party,A,0,1,74,1
Online TA,0,No Deposit,0,Transient,A,0,1,192,0
Online TA,0,No Deposit,0,Transient,A,0,1,9,0
Direct,0,No Deposit,0,Transient,E,0,0,12,1
Online TA,0,No Deposit,0,Transient-Party,B,0,0,202,0
Direct,0,No Deposit,0,Transient-Party,D,0,0,0,0
Online TA,0,No Deposit,0,Transient,D,0,1,124,0
Online TA,0,No Deposit,0,Transient-Party,A,0,1,38,0
Online TA,0,No Deposit,0,Transient,B,0,1,200,1
Groups,0,No Deposit,0,Transient-Party,A,1,1,11,0
Online TA,0,No Deposit,0,Transient,D,0,0,199,0
Online TA,0,No Deposit,0,Transient,E,0,0,58,0
Online TA,0,No Deposit,0,Transient-Party,Others,0,0,132,0
Online TA,0,No Deposit,0,Transient,D,0,0,19,0
Online TA,0,No Deposit,0,Transient,D,0,1,220,1
Online TA,0,No Deposit,0,Transient,A,0,0,154,1
Online TA,0,No Deposit,0,Transient,B,0,1,203,1
Direct,0,No Deposit,0,Transient,E,1,1,201,0
Direct,0,No Deposit,0,Transient,E,0,0,28,1
Online TA,0,No Deposit,0,Transient-Party,A,0,1,120,0
Direct,1,No Deposit,0,Transient-Party,A,0,1,186,1
Online TA,0,No Deposit,0,Transient,B,0,0,44,1
Online TA,0,No Deposit,0,Transient,Others,0,0,28,1
Online TA,0,No Deposit,0,Transient,D,0,1,83,0
Offline TA/TO,0,No Deposit,0,Transient-Party,E,0,0,96,1
Online TA,0,No Deposit,0,Transient,A,1,1,169,0
Online TA,0,No Deposit,0,Transient,B,1,1,18,0
Online TA,0,No Deposit,0,Transient,D,0,1,164,1
Direct,0,No Deposit,0,Transient,Others,1,1,78,0
Offline TA/TO,0,No Deposit,0,Transient,A,0,1,167,0
Offline TA/TO,0,No Deposit,0,Contract,E,1,1,144,0
Corporate,0,No Deposit,0,Transient,A,0,1,6,0
Online TA,0,No Deposit,0,Transient,D,0,0,109,1
Offline TA/TO,0,No Deposit,0,Contract,D,0,0,151,0
Online TA,0,No Deposit,0,Transient,E,1,1,264,0
Online TA,0,No Deposit,0,Transient,E,0,1,241,0
Online TA,1,No Deposit,0,Transient,A,0,1,179,1
Direct,0,No Deposit,0,Transient,G,1,0,161,0
Others,0,No Deposit,0,Transient,A,1,1,3,0
Direct,0,No Deposit,0,Transient,E,0,1,90,0
Direct,0,No Deposit,0,Transient,D,0,1,21,0
Direct,0,No Deposit,0,Contract,A,0,1,77,1
Online TA,0,No Deposit,0,Transient,A,0,1,145,1
Online TA,0,No Deposit,0,Transient,G,0,1,36,1
Online TA,0,No Deposit,0,Transient,A,1,0,11,0
Offline TA/TO,0,No Deposit,0,Transient,A,0,0,216,0
Online TA,0,No Deposit,0,Transient,D,1,1,180,0
Groups,0,No Deposit,0,Transient-Party,A,0,0,94,0
Offline TA/TO,0,No Deposit,0,Transient,D,0,0,136,0
Online TA,0,No Deposit,0,Transient,F,0,1,87,1
Groups,0,No Deposit,0,Transient-Party,A,1,0,7,0
Online TA,0,No Deposit,0,Transient,Others,1,1,32,0
Online TA,0,No Deposit,0,Transient,D,0,0,65,0
Online TA,0,No Deposit,0,Group,A,0,1,70,0
Online TA,0,No Deposit,0,Transient-Party,D,0,1,49,0
Online TA,0,No Deposit,0,Transient,A,0,1,251,0
Online TA,0,No Deposit,0,Transient,A,0,1,141,0
Online TA,0,No Deposit,0,Transient,F,0,1,356,1
Offline TA/TO,0,Non Refund,0,Transient-Party,A,0,0,195,0
Online TA,0,No Deposit,0,Transient,Others,1,1,4,0
Online TA,0,No Deposit,0,Transient,A,0,1,136,0
Online TA,0,No Deposit,0,Transient,D,0,1,73,1
Online TA,0,No Deposit,0,Transient,G,0,1,126,0
Online TA,0,No Deposit,0,Transient,Others,0,1,6,0
Direct,0,No Deposit,0,Transient-Party,G,0,1,119,0
Groups,0,No Deposit,0,Transient-Party,A,0,0,30,0
Online TA,0,No Deposit,0,Transient,F,0,0,28,1
Direct,0,No Deposit,0,Transient,Others,0,0,22,1
Online TA,0,No Deposit,0,Transient,D,0,1,10,1
Online TA,0,No Deposit,0,Transient,Others,0,0,65,0
Online TA,0,No Deposit,0,Transient,A,0,1,179,1
Groups,0,No Deposit,0,Transient-Party,A,1,0,383,0
Direct,0,No Deposit,0,Transient,A,0,1,16,0
Corporate,0,No Deposit,0,Transient-Party,D,1,0,17,0
Online TA,0,No Deposit,0,Transient,Others,1,1,28,0
Direct,0,No Deposit,0,Transient,F,0,0,0,0
Online TA,0,No Deposit,0,Transient,A,0,1,130,0
Direct,1,No Deposit,0,Group,Others,0,1,85,1
Online TA,0,No Deposit,0,Transient-Party,G,0,0,30,1
Online TA,0,No Deposit,0,Transient,D,1,1,237,0
Online TA,0,No Deposit,0,Transient,F,1,0,130,0
Online TA,0,No Deposit,0,Transient,G,0,1,172,0
Offline TA/TO,0,No Deposit,0,Transient,D,0,0,262,0
Online TA,0,No Deposit,0,Transient,F,0,1,24,0
Direct,0,No Deposit,0,Transient,F,0,0,224,1
Direct,0,No Deposit,0,Transient,A,1,1,28,0
Direct,0,No Deposit,0,Transient,F,0,0,13,1
Groups,0,No Deposit,0,Transient-Party,A,1,0,168,0
Online TA,0,No Deposit,0,Transient,F,0,1,320,1
Groups,0,No Deposit,0,Transient-Party,D,1,0,11,0
Online TA,0,No Deposit,0,Transient,A,0,1,41,1
Online TA,0,No Deposit,0,Transient,Others,1,0,57,0
Online TA,0,No Deposit,0,Group,D,0,1,220,0
Online TA,0,No Deposit,0,Transient-Party,D,0,1,153,0
Direct,0,No Deposit,0,Transient,E,0,1,147,0
Direct,0,No Deposit,0,Transient-Party,B,0,1,110,0
Online TA,0,No Deposit,0,Transient,D,0,1,37,1
Direct,0,No Deposit,0,Transient-Party,E,1,0,3,0
Online TA,0,No Deposit,0,Group,A,0,1,13,0
Online TA,0,No Deposit,0,Transient,D,0,1,9,0
Offline TA/TO,0,No Deposit,0,Transient,A,0,0,171,0
Direct,0,No Deposit,0,Transient,A,0,0,28,0
Online TA,0,No Deposit,0,Transient-Party,A,0,1,133,1
Online TA,0,No Deposit,0,Transient,E,0,1,63,0
Online TA,0,No Deposit,0,Contract,D,0,1,8,0
Groups,0,Non Refund,0,Transient-Party,A,0,0,171,0
Online TA,0,No Deposit,0,Contract,B,0,0,3,0
Direct,0,No Deposit,0,Transient,E,0,1,9,0
Direct,0,No Deposit,0,Transient,E,0,0,84,0
Direct,1,No Deposit,0,Transient,D,0,1,17,1
Online TA,0,No Deposit,0,Transient,Others,1,1,15,0
Corporate,1,No Deposit,0,Transient-Party,A,0,1,6,0
Direct,0,No Deposit,0,Transient,A,0,1,22,0
Direct,0,No Deposit,0,Transient,A,0,1,54,0
Others,0,No Deposit,0,Transient,A,0,1,38,0
Online TA,0,No Deposit,0,Transient,D,0,1,40,1
Direct,0,No Deposit,0,Transient,E,0,0,21,0
Online TA,0,No Deposit,0,Transient,D,0,1,52,0
Direct,0,No Deposit,0,Transient,F,1,0,1,0
Online TA,0,No Deposit,0,Transient,B,0,1,32,1
Groups,0,No Deposit,0,Transient-Party,G,0,0,30,0
Offline TA/TO,0,No Deposit,0,Transient,D,0,0,269,0
Online TA,0,No Deposit,0,Transient,Others,0,0,0,0
Direct,0,No Deposit,0,Transient,E,1,1,125,0
